source_id,central_source_id,date,source_owner,source_type,title,url,authority,full_text_status,archive_status,use_scope,boundary,data_layer,claim_status,review_status,frontend_eligibility,central_writeback,publisher_or_host,document_author_or_drafter,speaker_or_subject,attribution_status,event_or_submission_date,publication_date
H3V2S004,,2019,石垣島に軍事基地をつくらせない市民連絡会 petition account,online petition,石垣島にミサイル基地はいらない,https://www.change.org/p/%E7%B7%8A%E6%80%A5-%E7%9F%B3%E5%9E%A3%E5%B3%B6%E3%81%AB%E3%83%9F%E3%82%B5%E3%82%A4%E3%83%AB%E5%9F%BA%E5%9C%B0%E3%81%AF%E3%81%84%E3%82%89%E3%81%AA%E3%81%84-%E5%8D%97%E3%81%AE%E6%A5%BD%E5%9C%92%E3%82%92%E5%AE%88%E3%82%8B%E3%81%9F%E3%82%81%E9%85%8D%E5%82%99%E3%81%AE%E4%B8%AD%E6%AD%A2%E3%82%92%E6%B1%82%E3%82%81%E3%81%BE%E3%81%99,organization_public_petition_candidate,public_petition_page,not_archived_in_project,pre-installation old-name A010 local-object baseline,Petition-account ownership and exact version date require human confirmation.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S005,,2023-02-09,old-name A010 request reproduced by Shimbun Akahata,party press reproducing organization request,台湾有事を想定した避難・外交に関する石垣市民連絡会陳情,https://www.jcp.or.jp/akahata/aik22/2023-02-09/2023020904_02_0.html,full_request_reproduced_by_party_press,reported_full_or_substantial_text,not_archived_in_project,pre-network old-name A010 Taiwan/evacuation/diplomacy frame,Party-hosted reproduction is not a neutral account; wording must be checked against the original request.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S006,,2023-02-25,A100 request reproduced by Shimbun Akahata,party press reproducing organization request,うるま市民の会申し入れ,https://www.jcp.or.jp/akahata/aik22/2023-02-25/2023022504_08_0.html,request_reproduced_by_party_press,reported_substantial_text,not_archived_in_project,pre-network A100 Okinawa-war/attack-target frame,Wording must be checked against the original request before central use.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S007,,2022-06-28,Miyako civic group quoted by Shimbun Akahata,party press attributed statement,宮古島での戦場化反対発言,https://www.jcp.or.jp/akahata/aik22/2022-06-28/2022062815_01_0.html,attributed_party_press,reported_excerpt,not_archived_in_project,pre-network Miyako language-use candidate,Not an organization-authored complete document.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S008,,2025-02-22 onward,戦争止めよう！沖縄・西日本ネットワーク,organization site,戦争止めよう！沖縄・西日本ネットワーク 公式サイト,https://okinishi-net.org/,organization_primary,organization_site,not_archived_in_project,"identity, formation date, continuing activity and public information infrastructure",The organization is not a central-registry actor until a human decision.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S009,,2025-02-22,戦争止めよう！沖縄・西日本ネットワーク,formation declaration,結成宣言,https://cpnet.bona.jp/data25/250303_1.pdf,organization_primary,complete_web_pdf,not_archived_in_project,formation-declaration document frame and distributed war-preparation object,"The document supports document-level coding; drafter, participating-group contributions and independent adoption are unknown.",research_only,candidate,ai_seeded,not_frontend_ready,no,formation-material host associated with the network,unknown in bounded public file,,formation_declaration_document_not_participating_group_adoption,,
H3V2S010,,2025-02-22,formation-meeting organizers,formation proposal and governance material,沖縄・西日本ネットワークの結成提案・活動の骨子,https://isfweb.org/wp-content/uploads/2025/02/f5a7a37028f6be15e2a2e11181aac569.pdf,organization_primary,complete_web_pdf,not_archived_in_project,"proposed governance, regional operators, co-chairs, secretariat and communication infrastructure","The proposal documents intended governance; implementation, division of labor and retention are unverified.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S011,,2025-05-06,戦争止めよう！沖縄・西日本ネットワーク,action flyer and dated participating-group list,東京行動第二報・参加団体35団体,https://www.jca.apc.org/no-g7-hiroshima/wp-content/uploads/2025/05/202506tokyo-v2.pdf,organization_primary,complete_web_pdf,not_archived_in_project,35 participating/constituent groups as listed on 2025-05-06 and self-narrated event sequence,"The source says 参加団体／構成団体; it does not prove legal membership, retention, active division of labor or dyadic alliances.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S012,,2025-05-28,A018,organization self-report,沖縄・西日本ネットワーク東京行動のお知らせ,https://nomore-okinawasen.org/38273/,organization_self_narrative,complete_web_page,not_archived_in_project,organizer attribution of the 2023 rally as a trigger,Self-attributed trigger is not causal proof of diffusion.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S013,,2025-06-23,independent video journalist report,independent civic-media report,沖縄・西日本ネットワーク 対政府集会に200人,https://yumo.blue/?p=3847,independent_report,complete_web_page,not_archived_in_project,"first government action, 35-group count and 200 reported participants",Attendance is report-specific; it does not establish durable mobilization.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S014,,2026-02-10,Shukan Kinyobi,independent magazine report,日本の軍事化に危機感抱く市民団体が防衛省に新年度予算撤回要求,https://www.kinyobi.co.jp/kinyobinews/2026/02/10/antena-1718/,independent_report,complete_web_page,not_archived_in_project,second government action; 38-group and 440-participant reported counts; issue bundle,35-to-38 is not a growth estimate without comparable dated rosters.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S015,,2023-04,Okinawa Times,local news,基地反対市民ら 組織名称を変更 石垣で会見,https://www.okinawatimes.co.jp/articles/-/1140575,independent_local_news_paywalled,search_snippet_and_title,not_archived_in_project,news-reported exact rename from old-name A010 to the new-name organization,"This is a source-level reported rename fact. It conflicts with the current HR-012 lifecycle account, so central canonical/alias/lifecycle writeback remains human-pending.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S016,,2024-03-17,Okinawa Times,local news,分断あおる動きに危機感 市民連絡会・藤井事務局長,https://www.okinawatimes.co.jp/articles/-/1326388,independent_local_news_paywalled,search_snippet_and_metadata,not_archived_in_project,later report on the new-name organization and partial participant turnover,Source-level continuity does not override HR-012 centrally and does not support an installation-caused scale shift.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S017,,2025-03-22,Ryukyu Shimpo,local news,長射程弾配備、撤回を 九州検討で石垣市民ら声明,https://ryukyushimpo.jp/national/entry-4077152.html,independent_local_news,complete_search_result_text,not_archived_in_project,new-name Ishigaki organization statement on Kyushu deployment; continuity with A010 is a candidate,"One reported statement proves neither A010 identity continuity, durable alliance, independent object shift nor diffusion direction.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S018,,2026-03-24,Ryukyu Shimpo,local news,陸自石垣駐屯地の3周年行事、一般開放「中止を」,https://ryukyushimpo.jp/national/entry-5142618.html,independent_local_news,complete_search_result_metadata,not_archived_in_project,continued local monitoring/action by the reported new-name Ishigaki organization,"One report proves neither continuity with A010 nor organizational strength, retention or scale shift.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S019,,2024-03-06,external participant report quoting Miyako organizers,movement press report,自衛隊宮古島駐屯地開設5周年記念式典反対,https://www.jrcl.jp/okinawa/28042-1/,external_movement_report,complete_web_page,not_archived_in_project,speaker-specific Miyako battlefield/dialogue attribution before the 2025 participating-group list,External movement press attributes battlefield/dialogue language to a named A013 co-representative; evacuation/life-safety remarks come from other speakers.,research_only,candidate,ai_seeded,not_frontend_ready,no,週刊かけはし,尾形淳,仲里共同代表ほか複数の別人発言者,speaker_specific_media_attribution,,
H3V2S020,,2024-10-02,Miyakojima City,official meeting minutes,令和6年度第1回宮古島地域連絡会議事録,https://miyakojima.cmskit.jp/soshiki/shityo/kikaku/hisyokouhou/oshirase/20241002gijiroku.pdf,government_primary,complete_web_pdf,not_archived_in_project,official record that a similar-name civic entity submitted opinions/requests and received responses,"The record does not prove meeting attendance, exact crosswalk to A013 or adoption of the government's frame.",research_only,candidate,ai_seeded,not_frontend_ready,no,宮古島市,宮古島地域連絡会事務局,ミサイル基地いらない住民連絡会（surface form; A013 crosswalk unresolved）,official_request_submission_record_not_attendance,,
H3V2S021,,2023 onward,大分敷戸ミサイル弾薬庫問題を考える市民の会,organization site,敷戸ミサイル弾薬庫問題を考える,https://shikidoshimin.wixsite.com/shikido,organization_primary,organization_site,not_archived_in_project,independent pre-network West Japan local frame and organization history,"The site proves local adoption before the formal network, not a diffusion path.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S022,,2023-12-28,大分敷戸ミサイル弾薬庫問題を考える市民の会,organization-authored protest statement,9棟弾薬庫建設計画への緊急抗議声明,https://ankei.jp/yuji/file/2403/002859_f1.pdf,organization_primary_copy,complete_web_pdf,not_archived_in_project,"pre-network link among residential risk, IHL, Sakishima logistics and evacuation",A hosted copy should be checked against the organization's original file.,research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,,
H3V2S023,,2026-05-16,A018 site publishing the joint petition,"petition text dated/submitted 2026-05-07, page published 2026-05-16, with 35 endorsing groups",沖縄を最前線とする戦争準備に反対する請願,https://nomore-okinawasen.org/55871/,organization_primary_event_document,complete_web_page,not_archived_in_project,common petition text plus three island-specific request sections; four-place action/speaking hyperedge; 35 endorsing groups,"The petition was submitted on 2026-05-07 and published here on 2026-05-16. Endorsement, local-request authorship, speaking and first-action attribution remain separate.",research_only,candidate,ai_seeded,not_frontend_ready,no,ノーモア沖縄戦 命どぅ宝の会 website,unknown for common text and each island-specific section,three section headings and four-place event speakers are separate,published_complete_document_drafter_unknown,2026-05-07,2026-05-16
H3V2S024,,2026-05-09,Shimbun Akahata,party press event report,沖縄の島々を要塞化するな,https://www.jcp.or.jp/akahata/aik26/2026-05-09/2026050901_02_0.php,external_report_party_press,complete_web_page,not_archived_in_project,party-press confirmation of the 2026-05-07 four-place action and attribution that it was a first joint initiative,"Party press confirms occurrence but the 'first' description is reporter/organizer attribution, not an independently established universal first.",research_only,candidate,ai_seeded,not_frontend_ready,no,,,,,2026-05-07,2026-05-09
H3V2S025,,2023-04-30,Ryukyu Shimpo,local news,「戦場になること前提にした戦争準備」PAC3配備に市民団体が抗議声明,https://ryukyushimpo.jp/news/entry-1702799.html,independent_local_news,complete_web_page,not_archived_in_project,"reports 2023-04-15 general-meeting rename, partial representative turnover and 2023-04-28 statement by the new-name organization",This supports reported_exact_rename at source level but does not override HR-012 centrally or prove installation-caused scale shift.,research_only,candidate,ai_seeded,not_frontend_ready,no,琉球新報,照屋大哲 (news article); organization statement drafter unknown,石垣島の平和と自然を守る市民連絡会,independent_news_reported_exact_rename,,
